PROD_CD,PROD_NAME,MODEL_NAME,UNIT_PRICE
USB-PCI205,"[LANstar]USB3.0 PCI-E Express 1X to 16X Riser Card, 라이저 카드 [30156]★★할인제외★★",LS-RC-630,4000
USB-PCI208,"[LANstar] Msata To SATA PCI-E Express 카드, 미니가이드, Sata 케이블 포함 [30160] (100개)",LS-PCIE-MSATA,4000
USB-PCI209,"[LANstar] M.2sata To SATA PCI-E Express 카드, 미니가이드, Sata 케이블 포함 [30161] (100개)",LS-PCIE-M2SATA,6500
USB-PCI215,"[LANstar] AV컨버터(AV to HDMI), 3RCA/F To HDMI/F, 양방향 불가 [30168] (200개)",LS-AV2HD,10000
USB-PCI216,"[LANstar] HDMI컨버터(HDMI to AV), HDMI/F To 3RCA/F, 720/1080P 양방향 불가 [30169] (200개)",LS-HD2AV,10000
USB-PCI225,[LANstar] PCI-Express USB 3.0카드 4포트[20143] (100개),LS-EX304,14000
USB-PCI230,"[LANstar] PCI EXPRESS 듀얼 기가 랜 카드 2Port, RTL8111F [20175] (100개)",LS-PCIE-EX2000,32000
USB-PCI239,"[LANstar] PCIe 2.5 기가비트 유선 랜 카드 ,LP포함[20254] ★★할인제외★★",LS-PCIE-EX2500,22000
USB-PCI240,[LANstar] 인텔 X540-T2 10기가 랜카드/10G/듀얼포트[20255] (60개),LS-PCIE-EX540,130000
USB-PCI243,"[LANstar] M.2 sata PCI-Express 카드 , NVME , SATA [20279] (100개)",LS-PCIE-M2SATAN,7000
USB-PCI244,"[LANstar] PCI EXPRESS 기가랜카드 1Port, RTL8111F [20280] (100개)",LS-PCIE-EX1000TN,4900
USB-PCI245,"[LANstar] Intel 82576, 1Gbps 듀얼 PCI-Express 랜 카드 [20281]",LS-PCIE-EX2000N,22000
USB-PCI248,[LANstar] SATA3*2 + ESATA*2 PCI-e 카드 [30369] (100개),LS-PCIE-2SATA,16000
USB-PCI249,[LANstar] SATA3*4 PCI-e 카드 [30370] (100개),LS-PCIE-4SATA,33000
USB-PCI251,"[LANstar] PCIe 기가비트 랜카드 , Intel WGI210AT 칩셋 [30399] (100개)",LS-PCIE-EX210AT,23000
USB-PCI253,[LANstar] 시리얼 2포트 + 패러럴 1포트 콤보 PCIe 카드 [30432] (100개),LS-PCIE-EX1284N,13000
USB-PCI254,[LANstar] PCIe x1 to PCI 변환 카드 [30433] (100개),LS-PCIE2PCI,11000
USB-PCI257,[LANstar] PCIe to 시리얼카드 (ASIX AX99100) [30462] (100개),LS-PCIE-EX902BN,15000
USB-PCI261,"[LANstar] PCIe 2.5 SSD/HDD SATA3.0 카드, 2포트 [30500] (50개)",LS-PCIE-RAID,55000
USB-PCI262,"[LANstar] PCIe USB3.0 카드, 7포트 [30501] (100개)",LS-PCIE-EX307,29000
USB-PCI265,"[LANstar] PCIE 기가 랜카드, RTL8111F [30531] (100개)",LS-PCIE-EX1G,6000
USB-PCI266,"[LANstar] 인텔 듀얼 PCIe 기가 랜 카드, Intel 82576EB [30568] (100개)",LS-PCIE-EX2G,36000
USB-PCI269,"[LANstar] PCIE 기가 랜카드, RTL8111C [30597] (100개)",LS-PCIE-EX1C,7000
USB-PCI275,[LANstar] PCIe 인텔 x520 싱글 10G SFP+ 카드 [30624] (50개),LS-PCIE-EX520,90000
USB-PCI276,"[LANstar] PCIe 랜카드 2.5Gbps , RTL8125B 칩셋 [30627] (100개)",LS-PCIE-EX25,22000
USB-PCI279,[LANstar] PCIe 4포트 확장 카드 [30645] (50개),LS-PCIE-EX4P,35000
USB-PCI285,[LANstar] PCIe 인텔 X520-DA2 듀얼포트 SFP+ 카드 [30693],LS-PCIE-X520-DA2,110000
USB-PCI288,"[LANstar] 인텔 4port PCIe 기가 랜 카드, Intel JL82571GB [30714] (50개)",LS-EX4G,70000
